,Ticker,Company,Segment,Exchange,Weighting (%)
146,000596.SS,Anhui Gujing Distillery,Consumer Staples,Shenzhen,0.201
147,002311.SS,Guangdong Haid Group,Consumer Staples,Shenzhen,0.201
148,600188.SS,Yanzhou Coal Mining,Energy,Shanghai,0.2
149,300896.SS,IMEIK TECHNOLOGY DEVELOPMENT,Health Care,Shenzhen,0.198
150,688256.SS,Cambricon Technologies,Information Technology,Shanghai,0.197
151,600010.SS,Inner Mongolia Baotou Steel Union,Materials,Shanghai,0.196
152,002271.SS,Beijing Oriental Yuhong Waterproof Technology,Materials,Shenzhen,0.195
153,601111.SS,Air China,Industrials,Shanghai,0.195
154,001979.SS,China Merchants Shekou Industrial Zone Holdings,Real Estate,Shenzhen,0.192
155,300408.SS,Chaozhou Three-Circle,Information Technology,Shenzhen,0.191
156,600845.SS,Baosight Software,Information Technology,Shanghai,0.189
157,603369.SS,Jiangsu King's Luck Brewery Joint-Stock,Consumer Staples,Shanghai,0.189
158,600989.SS,Ningxia Baofeng Energy Group,Materials,Shanghai,0.188
159,600745.SS,Wingtech,Information Technology,Shanghai,0.186
160,601788.SS,Everbright Securities,Financials,Shanghai,0.185
161,600115.SS,China Eastern Airlines Corp,Industrials,Shanghai,0.183
162,600029.SS,China Southern Airlines,Industrials,Shanghai,0.179
163,002601.SS,LB Group,Materials,Shenzhen,0.176
164,601360.SS,360 Security Technology,Information Technology,Shanghai,0.176
165,601901.SS,Founder Securities,Financials,Shanghai,0.176
166,002493.SS,Rongsheng Petro Chemical,Materials,Shenzhen,0.175
167,600196.SS,Fosun Pharmaceutical,Health Care,Shanghai,0.175
168,002459.SS,JA Solar Technology,Information Technology,Shenzhen,0.174
169,601699.SS,Shanxi Lu'an Environmental Energy Development,Energy,Shanghai,0.173
170,601995.SS,China International Capital Corporation,Financials,Shanghai,0.172
171,600085.SS,Beijing Tongrentang,Health Care,Shanghai,0.171
172,601100.SS,Jiangsu Hengli Hydraulic,Industrials,Shanghai,0.171
173,601800.SS,China Communications Construction Company,Industrials,Shanghai,0.171
174,000895.SS,Henan Shuanghui Investment & Development,Consumer Staples,Shenzhen,0.17
175,002555.SS,37 Interactive Entertainment Network Technology Group,Communication,Shenzhen,0.17
176,003816.SS,CGN Power,Utilities,Shenzhen,0.17
177,600489.SS,Zhongjin Gold,Materials,Shanghai,0.17
178,601066.SS,China Securities,Financials,Shanghai,0.17
179,000963.SS,Huadong Medicine,Health Care,Shenzhen,0.166
180,300142.SS,Walvax Biotechnology,Health Care,Shenzhen,0.166
181,300033.SS,Hithink RoyalFlush Information Network,Financials,Shenzhen,0.165
182,000768.SS,AVIC Aircraft,Industrials,Shenzhen,0.163
183,601633.SS,Great Wall Motor,Consumer Discretionary,Shanghai,0.162
184,000786.SS,Beijing New Building Materials Public,Industrials,Shenzhen,0.16
185,002920.SS,Huizhou Desay SV Automotive,Consumer Discretionary,Shenzhen,0.16
186,600600.SS,Tsingtao Brewery,Consumer Staples,Shanghai,0.16
187,601868.SS,China Energy Engineering Corporation,Industrials,Shanghai,0.159
188,002648.SS,SATELLITE CHEMICAL,Materials,Shenzhen,0.157
189,601021.SS,Spring Airlines,Industrials,Shanghai,0.157
190,603392.SS,BEIJING WANTAI BIOLOGICAL PHARMACY ENTERPRISE,Health Care,Shanghai,0.157
