,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, FACE VALUE,market_cap,Sector
261,BANSALWIRE,Bansal Wire Industries Limited,EQ,10-Jul-24,5,41403387904,Basic Materials
262,BANSWRAS,Banswara Syntex Limited,EQ,11-Apr-07,5,3462364416,Consumer Cyclical
263,BASF,BASF India Limited,EQ,17-May-95,10,1.57447E+11,Basic Materials
264,BASML,Bannari Amman Spinning Mills Limited,EQ,14-Nov-05,5,1710416256,Consumer Cyclical
265,BATAINDIA,Bata India Limited,EQ,18-Jun-03,5,1.09467E+11,Consumer Cyclical
266,BAYERCROP,Bayer Cropscience Limited,EQ,8-Jan-10,10,1.97197E+11,Basic Materials
267,BBL,Bharat Bijlee Limited,EQ,21-Nov-06,5,27645396992,Industrials
268,BBOX,Black Box Limited,EQ,22-Jul-03,2,81842905088,Technology
269,BBTC,The Bombay Burmah Trading Corporation Limited,EQ,3-Apr-96,2,1.20929E+11,Consumer Defensive
270,BBTCL,B&B Triplewall Containers Limited,EQ,23-Nov-22,10,3976103936,Consumer Cyclical
271,BCG,Brightcom Group Limited,EQ,8-May-15,2,18058575872,Communication Services
272,BCLIND,Bcl Industries Limited,EQ,4-Mar-21,1,8187830784,Consumer Defensive
273,BCONCEPTS,Brand Concepts Limited,EQ,11-Jan-22,10,3493032192,Consumer Cyclical
274,BDL,Bharat Dynamics Limited,EQ,23-Mar-18,5,5.1612E+11,Industrials
275,BEARDSELL,Beardsell Limited,EQ,13-Jan-15,2,1070320128,Industrials
276,BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-Dec-20,2,68064956416,Consumer Defensive
277,BEDMUTHA,Bedmutha Industries Limited,EQ,14-Oct-10,10,3510633216,Basic Materials
278,BEL,Bharat Electronics Limited,EQ,19-Jul-00,1,3.00213E+12,Industrials
279,BELLACASA,Bella Casa Fashion & Retail Limited,EQ,18-Jul-25,10,4399801856,Consumer Cyclical
280,BELRISE,Belrise Industries Limited,EQ,28-May-25,5,1.42274E+11,Consumer Cyclical
281,BEML,BEML Limited,EQ,5-Nov-03,5,1.37077E+11,Industrials
282,BEPL,Bhansali Engineering Polymers Limited,EQ,21-Mar-05,1,20472629248,Basic Materials
283,BERGEPAINT,Berger Paints (I) Limited,EQ,24-Nov-99,1,5.8971E+11,Basic Materials
